component,xmin_avg,ymin_avg,xmax_avg,ymax_avg
28_i,1915,1931,2100,2114
5_c,2251,484,2369,729
51_n,2231,1813,2341,1887
21_g,2518,725,2890,1096
40_l,2608,1662,2994,1801
60_o,1439,606,1546,699
41_y,2389,1171,2539,1548
54_ad,2020,2120,2065,2306
26_f,1444,2240,1564,2369
11_q,3010,506,3181,818
31_j,1778,2143,1893,2258
45_i,1143,1803,1268,1931
2_a,1388,367,1985,554
30_i,1589,2070,1777,2261
10_p,2789,582,2999,663
56_ae,1991,1738,2151,1877
22_g,2891,814,3258,1175
53_ac,2793,1911,3029,1968
27_x,1570,2243,2001,2380
29_i,1741,1960,1918,2151
46_n,2263,1663,2366,1737
52_ab,2249,1263,2320,1384
57_af,2554,1095,2768,1610
36_i,2651,1986,2832,2175
1_a,772,369,1364,561
23_h,634,1020,829,1385
38_l,2260,2251,2633,2396
7_c,2681,367,2791,606
20_f,2372,876,2480,1009
44_m,3027,2069,3166,2219
42_z,3083,1739,3175,1880
24_h,627,1406,822,1768
19_w,2249,1066,2490,1169
33_e,1385,1172,1459,1308
6_6,2381,390,2660,757
9_d,2861,443,3034,501
15_e,1453,776,1522,912
35_k,2474,2000,2609,2141
48_n,1403,2056,1515,2129
17_u,1909,645,2038,1010
16_k,1527,807,1662,949
49_aa,1291,1708,1371,1777
37_i,2835,1983,3022,2176
43_m,3031,1896,3163,2056
58_i,2769,1497,2887,1617
47_n,1385,1934,1498,2007
12_r,2693,654,3004,767
14_t,901,644,1057,840
3_b,2092,505,2150,683
39_l,2694,2265,3076,2408
25_f,877,2304,995,2385
55_l,1622,1738,1986,1884
50_n,2237,1743,2340,1809
32_j,1896,2112,2018,2241
59_o,1674,607,1785,697
13_s,644,574,753,793
8_d,2859,381,3031,435
18_v,2088,966,2226,1035
4_b,2165,506,2223,685
34_k,2341,2016,2474,2156
